Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Pulang,Toha Mohtar,,,"Roman ini pada mulanya dimuat bersambung dalam majalah dan pernah dibuat film oleh Turino Djunaidi sebelum menjadi buku. Sebagai roman, bentuknya sederhana saja. Tapi justru karena sederhana, maka Pulang ini terasa amat jernih, bening, dan liris. Pengarangnya yang peka melukiskan dengan halus dan teliti setiap konflik psikologis para pelakunya serta dengan sangat meyakinkan sekali. Roman ini telah diterjemahkan ke dalam beberapa bahasa asing, dan pernah mendapat hadiah sastra nasional dari BKMN tahun 1958.","Fiction, Novels","120 pages, Paperback","January 1, 1994 by Pustaka Jaya",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1274162822i/8245024.jpg,,(ISBN10: 9794191310),Indonesian
Namaku Mata Hari,Remy Sylado,,,"Novel ini telah dimuat sebagai cerita bersambung di KOMPAS  Aku pelacur tulen. Tapi aku penari sejati. Dan aku Belanda berdarah Indonesia.  MATA HARI, nama yang tercatat di berbagai literatur, terutama dihubungkan dengan spionase, mata-mata, intrik, juga sensualitas.  Hidup di seputar akhir abad ke-19 sampai awal abad ke-20, Mata Hari seperti mewadahi berbagai gejolak zaman yang menjadi ciri khas pergantian abad, sampai kemudian terseret menjadi agen ganda bagi Prancis dan Jerman pada Perang Dunia I. Dalam novel ini, dikisahkan periode hidupnya yang belum banyak disingkap, yakni hidup Mata Hari di Indonesia.  Siapa penulis yang pada novel ini seperti menunjukkan sifat androgini, keluar-masuk dunia perempuan dan lelaki, untuk menggali sisi terdalam Mata Hari dengan penuh empati?  Ia adalah Remy Sylado, ikon kehidupan anak muda pada tahun 1970-an. Sampai saat ini ia terus berkarya lewat sastra dan drama selain kegiatan-kegiatan seni yang lain termasuk melukis.  Namaku Mata Hari ia tulis menjadi sebuah prosa yang kesannya sangat filmis. Ia mengakui, """"Namaku Mata Hari memang siap untuk difilmkan.""""  Remy Sylado, penerima berbagai penghargaan antara lain Satya Lecana Kebudayaan dari Pemerintah dan Hadiah Sastra Terbaik dari Pusat Bahasa, memang tak pernah berhenti.   ---Bre Redana","Novels, Historical Fiction, Indonesian Literature, Fiction, Literature","559 pages, Paperback","October 1, 2010 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464189717i/9504619.jpg,,9789792262810 (ISBN10: 9792262814),Indonesian
"Nagabumi II: Buddha, Pedang dan Penyamun Terbang",Seno Gumira Ajidarma,,,"Mengikuti hasrat pengembaraan, Pendekar Tanpa Nama dari Javadvipa tiba di Tanah Kambuja pada tahun 796. Perjumpaan dengan seorang perempuan pendekar, membuat ia terlibat berbagai pertarungan maut yang setiap kali nyaris mencabut nyawanya.  Bersama perempuan pendekar itu, ia bergabung dengan pasukan pemberontak An Nam yang melawan penjajahan, yang kemudian membuatnya wajib melakukan perjalanan rahasia ke Negeri Atap Langit untuk membongkar persekongkolan.  Kesetiaan dan pengkhianatan, sihir dan nalar, silat dan filsafat, cinta dan birahi, mengharubiru petualangan Pendekar Tanpa Nama yang harus mengatasi tantangan alam luar biasa antara dongeng dan kenyataan.  Mengapa ia terdampar di kampung pelarian Pemberontakan An-Shi? Bagaimana caranya Pendekar Tanpa Nama mengatasi gungfu Perguruan Shaolin? Apa yang membuat perjalanannya berbelok ke Shangri-La dan terpaksa menghadapi para penyamun terbang?  Nagabumi, autobiografi Pendekar Tanpa Nama, yang ketika menuliskannya selalu diganggu para pembunuh bayaran! ---------------- Seno Gumira Ajidarma adalah sastrawan,fotografer dan kritikus film Indonesia. Karya-karya sastranya meliputi kumpulan cerpen,drama,novel dan komik. Ia lahir di Boston tanggal 19 Juni 1958. Cerpen-cerpennya muncul di harian Kompas,Media Indonesia,Republika,Koran Tempo,majalah Matra, Djakarta!,Horison, dan Latitute. Selain menulis, ia juga mengajar di IKJ pada mata kuliah Penulisan Kreatif dan Kritik Film. Buku-bukunya yang diterbitkan di Gramedia Pustaka Utama adalah Sebuah Pertanyaan tentang Cinta,Atas Nama Malam,Kematian Donny Osmond, dan Sepotong Senja untuk Pacarku.Cerpen """"Sebuah Pertanyaan untuk Cinta"""" pernah difilmkan dan ikut serta dalam festival film JIFFEST (Jakarta International Film Festival)","Novels, Indonesian Literature, Fiction, Fantasy","990 pages, Hardcover","First published January 1, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294671140i/10176571.jpg,,,
Sabda Palon 1: Kisah Nusantara yang Disembunyikan,Damar Shashangka,,,"Pada tahun 1445 Masehi, atas permintaan Bhre Kêrtabumi, Syekh Ibrahim Al-Akbar berlayar dari Champa menuju Jawa, diiringi Sayyid Ali Murtadlo dan tiga belas santrinya. Mengingat pertumbuhan kaum muslim yang pesat di pesisir Jawa, syekh keturunan Samarqand itu didaulat untuk menjadi pejabat resmi agama Islam di Keraton Majapahit. Tetapi jung Syekh Ibrahim diamuk badai hingga terdampar di pantai Kamboja dan mereka menjadi tawanan kerajaan di sana. Kabar tentang nasib rombongan Champa itu akhirnya sampai di Jawa. Dipimpin Raden Arya Bangah, tujuh jung tempur Majapahit, lengkap dengan meriam dan manjanik, segera bertolak ke Kamboja untuk membebaskan mereka. Pertempuran sengit pun meletus di Prey Nokor.  Dalam pada itu, Sabda Palon dan Naya Genggong, dua punakawan Bhre Kêrtabumi, melihat dengan mata batinnya bahwa trah Majapahit akan lumpuh. Selama lima ratus tahun awan hitam akan menaungi Nusantara seiring datangnya para pembawa keyakinan baru yang haus takhta. Sabda Palon menasihati Kêrtabumi agar mengambil selir dari Wandhan. Keturunan darinyalah yang akan membangkitkan kejayaan trah Majapahit dua ratus tahun kemudian. Raja muda itu pun mengawini Bondrit Cêmara, seorang emban dari Wandhan. Dewi Amaravati, putri Champa permaisuri Kêrtabumi, dilanda cemburu hebat hingga berencana untuk membunuh Bondrit Cêmara berikut janin yang tengah dikandungnya.  Melalui narasi-narasi memukau nyaris pada setiap babak, novel ini tak hanya mampu menyatukan keping-keping sejarah masa akhir kejayaan Majapahit yang tercecer dan terpendam, tetapi juga bakal menyihir Anda untuk memasuki Nusantara masa silam. Tidaklah mudah membawa pembaca abad 21 kembali ke abad 15, yang penuh aroma dupa, kemegahan pura, dan gadis-gadis yang masih bertelanjang dada. Tetapi Damar Shashangka mampu melakukan itu dengan mempesona.",History,"439 pages, Paperback","First published February 1, 2011",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1469562103i/10375054.jpg,,,
Misteri Organisasi Rahasia The Judges,Lexie Xu,,,"File 3 : Kasus penganiayaan murid-murid SMA Harapan Nusantara dalam proses seleksi anggota organisasi rahasia “The Judges”.  Tertuduh : Penyelenggara proses seleksi itu, alias para anggota “The Judges” yang semuanya misterius, mencurigakan, dan menyebalkan. Sifat sok berkuasa mereka membuat mereka jadi tertuduh ideal. Belum lagi undangan demi undangan yang dilayangkan pada para anggota kendati sudah terjadi peristiwa-peristiwa tak mengenakkan, menandakan mereka tidak peduli pada korban. Tentu saja, tertuduh utama adalah pemimpin organisasi sok keren ini, si Hakim Tertinggi.  Fakta-fakta : Pada minggu terakhir tahun ajaran, surat-surat undangan dilayangkan pada anak-anak paling cerdas dan berbakat di kelas X, mengajak kami untuk mengikuti proses seleksi untuk menjadi anggota organisasi paling berpengaruh di sekolah kami. Tidak dinyana, satu per satu kami diserang secara brutal pada proses seleksi, ditinggalkan dalam posisi seolah-olah mereka menjadi korban ritual sebuah upacara.  Misi kami : Menemukan pelaku kejahatan sebelum kami sendiri menjadi korban.  Penyidik Kasus, Erika Guruh, Valeria Guntur, dan Rima Hujan","Thriller, Mystery, Romance, Novels, Fiction, Indonesian Literature, Mystery Thriller","312 pages, Paperback","First published October 1, 2013",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1379323811i/18493770.jpg,,,
Deviasi,Mira W.,,,"Dari ujung utara Benua Amerika sampai ke ujung selatan Benua Afrika, Arneta terjebak di antara tiga laki-laki yang sama-sama mengejarnya.  Bekas kekasihnya yang berada di ambang perceraian. Pria tanpa masa lalu yang sedang terpuruk dalam lumpur perasaan bersalah. Dan mantan suaminya, seorang lelaki terhormat yang mengidap deviasi seksual dan mempunyai kepribadian ganda.  Mampukah Arneta melepaskan diri?","Romance, Novels, Indonesian Literature, Fiction, Drama","267 pages, Paperback","September 1, 1996 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509187030i/1806680.jpg,,9789796054046 (ISBN10: 9796054043),Indonesian
Hikayat Kadiroen: Sebuah novel,Semaoen,,,"Jalan hidup Kadiroen, pejabat lokal di pemerintahan Hindia Belanda, berubah setelah dia mendengar pidato Tjitro, seorang tokoh Partai Komunis. Tjitro bicara tentang kapitalisme, perlunya berserikat, serta komunisme.  Idealisme Kadiroen sejalan dengan konsep Partai Komunis. Dia pun bersimpati dan mendukung partai itu secara diam-diam. Dia melepas kariernya di pemerintahan kolonial dan menjadi penulis pada Sinar Ra’jat, harian Partai Komunis, bahkan pernah terkena pasal delik pers (persdelict).  Novel yang ditulis Semaoen ketika dirinya di penjara pada 1919 ini menunjukkan sosok Kadiroen sebagai borjuis yang menjadi pahlawan karena berupaya memakmurkan kaum tertindas. Selain itu novel ini juga menyelipkan cerita cinta Kadiroen dan Ardinah, istri seorang lurah yang terkena kawin paksa. Romansa mereka menjadi penutup seluruh kisah.",,"236 pages, Paperback","January 1, 2000 by Yayasan Bentang Budaya",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463493184i/1563690.jpg,,9789798793950 (ISBN10: 9798793951),Indonesian
Serendipity,Erisca Febriani,,,"Dulunya, Arkan dan Rani adalah sepasang kekasih. Tiba-tiba, di sebuah taman kota, Arkan mengikrarkan bahwa mereka harus berpisah.  Dua bulan telah berlalu. Sekarang, meskipun mereka satu kelas, Arkan tidak pernah lagi menyapanya. Kadang, memang selucu itu, mereka yang dulu bisa menghabiskan waktu berjam-jam hanya untuk mengobrol tentang apa pun, kini bahkan tidak tahu bagaimana caranya mengucapkan ‘hai’ atau ‘selamat pagi’.  Rani tahu Arkan membencinya. Rani tahu ini kesalahannya. Tapi Arkan seharusnya mendukungnya. Dia sedang berusaha bertahan hidup.  Dengan segala kemampuannya, dengan segala perisai dan kekuatannya, Rani berusaha bertahan dan berdiri tegak.","Romance, Young Adult, Indonesian Literature","424 pages, Paperback","December 10, 2016 by Inari",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478800130i/32939057.jpg,,9786027432291 (ISBN10: 6027432292),Indonesian
La Barka,Nh. Dini,,France,"Novel La Barka ini mengangkat berbagai permasalahan wanita ke permukaan, seperti perceraian, hidup menjanda, mendidik dan memelihara anak seorang diri, berpacaran, dan keraguan terhadap lembaga perkawinan Secara bertahap, novel ini menyajikan keadaan wanita dan sikap pria yang tidak saling menghargai. Akibatnya, mereka tidak saling mengisi dan saling menghargai. Pria tampak dominan sebagai makhluk yang egois, kaku, dan tidak menghargai sesuai dengan kodrat dan potensi wanita. Aneka ragamnya karakter tokoh novel ini (Monique, Francine, Sophie, Yvonne, Cristine, dan Rina) membuat novel ini menarik. Selain itu, yang tak kalah menarik adalah latar Prancis yang disajikan pengarang. Dengan membaca novel ini, seakan-akan pembaca sedang berkelana didaerah pegunungan dan pedesaan Prancis Selatan.  Penerbit Cetakan Pertama : Jakarta Pustaka Jaya","Fiction, Indonesian Literature, Novels, Romance, Literature, Classics, Drama","249 pages, Paperback","January 1, 2000 by Grasindo",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1352430005i/3230772.jpg,,(ISBN10: 9796698242),Indonesian
Hans,Risa Saraswati,,,"Masa hidup Hans Joseph Weel bisa dibilang tidak menyenangkan. Dia tidak pernah dekat dengan kedua orangtua atau saudara selayaknya anak-anak lain. Hanya Rosemary Boyld—seorang wanita tua yang menganggap Hans seperti cucu sendiri—berada di sisinya sampai ke teror mengerikan itu….""""… aku hanyalah anak kecil yang sedang menunggu Mama untuk menjemputku pulang. Jika boleh meminta, tolong jangan memanggilku dengan sebutan hantu. Panggil saja namaku... Hans.""""  Meski begitu, Hans mampu menutupi kesepiannya dengan sangat baik. Dia lebih suka menderita sendiri ketimbang membagi derita dengan sahabat-sahabatnya yang lain, termasuk aku. Sikapnya yang selalu ceria, membuat siapa pun tak menyangka bahwa dia punya masa lalu yang singkat, rumit, dan berakhir mengerikan.","Horror, Novels","264 pages, Paperback","April 4, 2017 by Bukune",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490341570i/34673423.jpg,,9786022202165,Indonesian
Sabda Palon 2: Roh Nusantara dan Orang-orang Atas Angin,Damar Shashangka,,,"Sejak Dinasti Ming melarang armadanya berlayar ke luar Cina, ditambah rentannya Majapahit setelah Rani Suhita mangkat pada tahun 1447, perjanjian antara Tiongkok dan Majapahit selepas Perang Paregreg—yang memberikan jaminan keamanan kepada warga keturunan Cina di Majapahit—pun mulai goyah. Haji Gan Eng Cu, pejabat Dinasti Ming untuk kawasan Asia Tenggara yang berkedudukan di Lasêm, berencana menggalang kekuatan prajurit demi keamanan warga keturunan Cina. Bong Swi Hoo alias Sayyid Ali Rahmad diperintahnya untuk menempati daerah Bangêr. Dari sana dia diharapkan bisa menjadi penghubung warga Cina yang tinggal di Jawa sebelah timur dengan Lasêm.  Di sisi lain, Tuban yang semakin makmur menimbulkan kecemasan sejumlah pejabat pribumi Majapahit. Kemakmuran Tuban salah satunya disebabkan oleh kebijakan Adipati Arya Adikara yang memberikan kesempatan kepada orang-orang Atas Angin untuk masuk ke jajaran pemerintahan, termasuk mengangkat Gan Eng Wan, adik Haji Gan Eng Cu, sebagai patih Tuban. Lalu tersingkaplah sebuah desas-desus tentang rencana penyerbuan atas Tuban yang digerakkan oleh beberapa pejabat Majapahit. Namun Adipati Tuban tidak mempercayainya. Tumenggung Wilwatikta meminta tolong kakaknya di Lasêm, Pangeran Wirabraja, untuk menyelisik kebenaran desas-desus itu. Kerusuhan besar pun membayang-bayangi Tuban.  Dalam pada itu, Bhre Kêrtabumi, didampingi dua punakawannya, Sabda Palon dan Naya Genggong, mulai mendapat petunjuk dari sosok misterius yang dipercaya sebagai Roh Nusantara. Petunjuk itu menggiringnya pada pengetahuan tentang hakikat tanah Nusantara, yang dalam penglihatan batinnya pernah menjadi pusat peradaban dunia, dikenal sebagai Ataladwipa. Begitu pula Sayyid Ali Rahmad. Dia memperoleh penampakan gaib yang mahadahsyat. Tanda-tanda perubahan zaman mulai terlihat. Jawa akan berganti wajah. Agama lama bakal sirna digantikan agama baru. Dan Bhre Kêrtabumi dan Sayyid Ali Rahmad adalah dua orang yang terpilih sebagai pengawal perubahan mahabesar yang bakal mengubah wajah dunia.  Penyunting: Salahuddien Gz Pemindai Aksara: Webri Veliana Penggambar Sampul: Yudi Irawan ISBN: 978-979-17998-2-9 Harga: Rp 75.000,- (485 Hlm. Bookpaper) Penerbit: Dolphin Email: bunda_laksmi@yahoo.com",Indonesian Literature,"486 pages, Paperback","First published March 1, 2012",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330700193i/13507937.jpg,,,
Mahabbah Rindu,Abidah El Khalieqy,,Indonesia,,,"404 pages, Paperback","January 1, 2007 by Diva Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1204133971i/2853517.jpg,,(ISBN10: 9799634075),Indonesian
Surat Kecil Untuk Tuhan,Agnes Davonar,,,"True Story Gita Sesa Wanda Cantika. Perjuangan gadis remaja melawan kanker ganas.  Hai, sobat. Kenalkan namaku Keke. Umurku 13 tahun. Aku remaja aktif yang duduk di kelas 2 SMP. Suatu pagi aku terbangun dengan mata memerah kemudian hidungku berdarah. Ayah membawaku ke Dokter untuk diperiksa.  Awalnya kupikir, aku hanya flu biasa dan kelelahan sehabis mengikuti olah raga volley. Tapi aku salah, ayah mendapatkan kabar kalau kalau aku terserang kanker ganas. Kanker itu dapat membunuhku dalam waktu lima hari. Ayah merahasiakan kanker itu dariku, ia takut bila aku tahu harus dioperasi dengan kehilanag sebagian wajah kiriku.  Hari berlanjut, di wajahku mulai tumbuh gumpalan sebesar bola tennis dan perlahan sebesar buah kelapa. Aku menangis, tapi tak ada yang mau memberi tahu penyakit apa yang ada di wajahku. Kujalani hidupku senormal mungkin, namun kanker itu menghalangi langkahku, aku tidak ingin menangis dan berpikir aku sakit. Walau aku sadar hidupku tidak akan lama lagi.  Tuhan memberikan nafas panjang padaku untuk bertahan selama tiga tahun dari penyakit ini. Aku pun menulis surat kecil pada Tuhan, semoga tidak ada lagi orang yang mengalami hal yang sama denganku.  ANDAI Aku BISA KEMBALI Aku INGIN TIDAK ADA TANGISAN ANDAI Aku BISA KEMBALI Aku TIDAK INGIN ADA LAGI HAL YANG SAMA TERJADI PADAKU TERJADI PADA SIAPAPUN  TUHAN ANDAI Aku BISA MEMOHON JANGAN ADA TANGIS DAN DUKA DI DUNIA LAGI TUHAN ANDAI Aku BISA MENULIS SURAT UNTUKMU JANGAN PISAHKAN Aku DARI SAHABAT DAN ORANG YANG Aku SAYANGI.  Aku INGIN MENJADI DEWASA SEPERTI BURUNG YANG BISA TERBANG KETIKA IA DEWASA Aku INGIN AYAH MELIHAT Aku KETIKA Aku MEMILIKI LAGI KEINDAHAN GERAIAN RAMBUT..  TUHAN SURAT KECILKU INI.. ADALAH PERMINTAAN TERAKHIRKU ANDAI Aku BISA KEMBALI..","True Story, Novels, Indonesian Literature, Drama, Family, Young Adult, Romance","168 pages, Paperback","July 1, 2008 by Inandra Published",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1223459104i/4951041.jpg,,9789791834612,Indonesian
Delusi,Mira W.,,,"Setelah tujuh belas tahun dirawat di rumah sakit jiwa, Rivai yang mengidap deviasi seksual dan berkepribadian ganda, melarikan diri untuk mencari Arneta, mantan istrinya yang masih dianggapnya miliknya.  Pelarian Rivai dipicu oleh tayangan sinetron yang dibintangi oleh Putri, anak perempuan Arneta yang memiliki wajah mirip ibunya. Rivai mengira Putri adalah Arneta.  Kepanikan semakin memuncak ketika terjadi tiga pembunuhan berantai yang diduga dilakukan oleh pembunuh yang sakit jiwa....  Dan ketika kecurigaan semua pihak tertuju pada Rivai, muncullah pembunuh yang sebenarnya....  Delusi, lembar penutup Deviasi, dirangkum dengan kisah seorang penderita skizoprenia paranoid yang mempunyai waham memberantas pelacuran dan perselingkuhan....  Punya hubungan apa dia dengan Rivai dan Arneta?","Romance, Indonesian Literature, Novels","153 pages, Paperback","April 1, 1998 by PT. Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1246721087i/6591041.jpg,,9789796059119 (ISBN10: 9796059118),Indonesian
Orang-Orang Oetimu,Felix K. Nesi,,,"Oetimu: suatu wilayah kecil di pelosok Nusa Tenggara Timur. Masa itu adalah paruh kedua 1990an, dan kejadian-kejadian di wilayah Indonesia selebihnya mau tak mau berdampak kepada kehidupan sosial orang-orang di kampung yang terpencil itu. Kolonialisme Indonesia di Timor Timur kian disorot dunia internasional, sementara warisan kekerasan antara militer Indonesia dan gerilyawan Fretilin ikut menyebar ke wilayah sekitarnya, demonstrasi menentang Soeharto kian marak di kalangan mahasiswa, dan Brazil berhadap-hadapan dengan Prancis di final Piala Dunia.  Novel mengasyikkan yang menggambarkan masyarakat Timor Barat dengan segala kepelikannya, di mana gereja, negara, dan tentara berperan besar dalam kehidupan sosial. O ya, juga sopi dan seks.  ***   —Pertanggungjawaban Dewan Juri Sayembara Novel DKJ 2018","Historical Fiction, Fiction, Novels, Indonesian Literature, Historical, Adult, Literature","220 pages, Paperback","July 16, 2019 by Marjin Kiri",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590593586i/49703003.jpg,,9789791260893,Indonesian
Nebula,Tere Liye,Bumi (#9),,"SELENA dan NEBULA adalah buku ke-8 dan ke-9 yang menceritakan siapa orangtua Raib dalam serial petualangan dunia paralel. Dua buku ini sebaiknya dibaca berurutan. Kedua buku ini juga bercerita tentang Akademi Bayangan Tingkat Tinggi, sekolah terbaik di seluruh Klan Bulan. Tentang persahabatan tiga mahasiswa, yang diam-diam memiliki rencana bertualang ke tempat-tempat jauh. Tapi petualangan itu berakhir buruk, saat persahabatan mereka diuji dengan rasa suka, egoisme, dan pengkhianatan. Ada banyak karakter baru, tempat-tempat baru, juga sejarah dunia paralel yang diungkap. Di dua buku ini kalian akan berkenalan dengan salah satu karakter paling kuat di dunia paralel sejauh ini. Tapi itu jika kalian bisa menebaknya. Dua buku ini bukan akhir. Justru awal terbukanya kembali portal menuju Klan Aldebaran.","Fantasy, Fiction, Indonesian Literature, Novels, Young Adult, Adventure, Action","376 pages, Paperback","March 16, 2020 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1584354079i/52416779.jpg,,9786020639536,Indonesian
Pintu,Fira Basuki,Trilogi Jendela - Pintu - Atap (#2),,"Pintu (The Roof) is the continuation of Jendela-Jendela (The Windows). However, this novel can be read alone. Bowo, is the main character. A guy with a Javanese background, Bowo was born with the third eyes or sixth senses. This novels tells his story from the day he was born until the day he has out of this world experiences. Also, not forgetting is his relationships with several women that close to his heart, including his grandmother and his girlfriends.","Novels, Indonesian Literature, Fiction, Romance, Contemporary, Drama, Chick Lit","157 pages, Paperback","January 1, 2002 by Grasindo",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579422455i/960165.jpg,,9789796955428 (ISBN10: 9796955423),Indonesian
Perempuan Bernama Arjuna #3: Javanologi dalam Fiksi,Remy Sylado,,,"Yang Silam dari Peradaban Jawa  Kembali kita berjumpa dengan novel karya sang Maestro Indonesia, Remy Sylado.  Setelah novel sebelumnya sukses menyapa pembaca melalui FILSAFAT DALAM FIKSI (panjang lebar mengulas sejarah filsafat Barat dan filsafat Timur) kemudian berlanjut novel SINOLOGI DALAM FIKSI (rangkaian sejarah hubungan orang-orang Cina di Indonesia), kali ini JAVANOLOGI DALAM FIKSI (ulasan pemikiran, sejarah dan tamadun bangsa Jawa).  Masih seperti sebelumnya, novel ini berkisah tentang Arjuna, perempuan yang menjadi istri mantan Jesuit """"murtad” yang berkelana mempelajari paham-paham pemikiran bangsa Jawa. Di dalam novel ini terangkai sebongkok pengetahuan meliputi falfasah, mitologi, ramalan, seni-budaya, budi-pekerti, ke-Hindhu-an, ke-Buddha-an, ke-Kristenan, ke-Islam-an, nyanyian, kesusastraan, kuliner, traveling, kamasutra Hindhu, dan lain sebagainya. Tak ketinggalan wacana seksualitas cukup mendominasi dalam buku ini sehingga sepantasnya memang buku ini hanya layak dibaca untuk kalangan dewasa.  Setting kisah ini mengambil Jawa bagian Tengah yang menonjolkan sisi historis peradaban Mataram di era Sultan Agung. Dalam novel ini, Jawa di masa Islam itu pernah mengalami era keemasan dengan prestasi gemilang mewujudkan peradaban Islam—sebuah prestasi yang patut diketahui generasi masa kini. Rekam jejak sejarah yang dikisahkan melalui novel seperti ini menjadikan siapa saja merasa renyah mengunyah pengetahuan ilmiah. (Faiz Manshur, Redaksi Penerbit Nuansa Cendekia).",Indonesian Literature,"308 pages, Paperback","First published March 1, 2015",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1429012057i/25357550.jpg,,,
Tabir Nalar,Rynaldo Cahyana Hadi,Vandaria Saga,,"Setelah tiga ribu tahun lamanya berkuasa, akhirnya dominasi bangsa frameless terhadap manusia diruntuhkan oleh Raja Tunggal. Kini kedudukan bangsa frameless dan manusia setara. Namun tidak semua pihak senang akan kesetaraan itu. Sebuah organisasi rahasia muncul dan mengoyak kedamaian antara frameless dan manusia dengan serangkaian pembunuhan.  Cervale Irvana, sang pembaca pikiran, berusaha menguak misteri di balik pembunuhan itu. Ia membuka rahasia organisasi misterius itu dan menemukan kenyataan yang sulit ia percayai   """"Kisah yang menyuguhkan frame konvensional, namun dalam tampilan anggun. Tentang peperangan antara YANG PUTIH dan YANG HITAM. Tentang dominasi 'Para Dewa' terhadap makhluk lemah bernama manusia. Tentang perjuangan mencari arti keadilan,kesetiaan, dan kebenaran. Patut dibaca di tengah keseharian kita, yang juga menyuguhkan tampilan serupa."""" -----Damar Shashangka, Penulis seri bestseller Sabda Palon-----  """"Thriller-fantasi berbumbukan twist tak terduga. Jika Anda menginginkan sebuah cerita Vandaria yang tidak biasa, Tabir Nalar bisa menjadi pilihan menarik."""" -----Fachrul RUN, Penulis Vandaria Saga: Hailstrom----","Fantasy, Indonesian Literature, Novels, Thriller","303 pages, Paperback","October 22, 2012 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1350742372i/16097365.jpg,,9789792289282,Indonesian
Suti,Sapardi Djoko Damono,,,"Suti adalah seorang perempuan yang dengan enteng tetapi tegar menyaksikan dan menghayati proses perubahan masyarakat pramodern ke modern yang dijalaninya ketika bergerak dari sebuah kampung pinggir kota ke tengah-tengah kota besar. Ia bergaul dengan gerombolan pemuda berandalan maupun keluarga priayi tanpa merasa kikuk, dan melaksanakan apa pun yang bisa mendewasakan dan mencerdaskan dirinya. Suti terlibat dalam masalah yang sangat rumit dalam keluarga Den Sastro, yang sulit dibayangkan ujung maupun pangkalnya.","Novels, Indonesian Literature, Fiction","200 pages, Paperback","November 16, 2015 by Penerbit Buku Kompas",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1485408612i/27393777.jpg,,9789797099862 (ISBN10: 9797099865),Indonesian
2,Donny Dhirgantoro,,,"Ini Bulutangkis, dan Ini Indonesia, dimana impian dibawa ke dunia nyata, tidak berlaku untuk Gusni Annisa Puspita, remaja yang 'kelebihannya' adalah keterbatasannya. Cita-citanya sejak kecil untuk membuat orang tuanya senang dengan bermain bulutangkis terus kandas.  Suatu malam sebuah kenyataan pahit datang untuknya, sebuah kenyataan tak berperi, hidup yang tidak berpihak kepadanya, kenyataan yang berbicara lantang kalau bermimpi saja tidak akan pernah cukup.  Dan, perempuan Indonesia dengan segala keterbatasannya itu memutuskan untuk melawan, memutuskan untuk terus berjuang demi impiannya, memutuskan untuk terus mencintai hidup yang tidak pernah sempurna.  Memutuskan untuk berani mencintai, dan mencintai dengan berani…","Novels, Fiction, Indonesian Literature, Family, Romance, Slice Of Life, Sports","418 pages, Paperback","January 1, 2011 by Grasindo",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1310085750i/11978369.jpg,,9789790815629,Indonesian
