Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Howards End,E.M. Forster,,,"A már életében klasszikusnak számító angol írónak ez volt a negyedik, a kritikusok szerint a legjobb regénye. Ismét életre kel az Edward-kori Anglia. A történet középpontjában két család áll. Egyrészt a dúsgazdag Wilcoxék: Henry, a hűvösen charme-os vállalkozó, és beteges felesége, Ruth. Másrészről a művelt, érzékeny Schlegel kisasszonyok, akik intellektuális lelkivilágukat a londoni teaszalonokban élik. A két életforma között és alatt Leonard Bast, a Helen Schlegel védőszárnyai alá került fiatal hivatalnok tengődik, a kisember, aki a kultúra világába vágyakozik, de akit a wilcoxi könyörtelenség és a schlegeli könyörület egymással versengve tesz tönkre.","Fiction, Classics, Historical Fiction, Literature, British Literature, Novels, 20th Century","318 pages, Paperback","January 29, 2018 by Createspace Independent Publishing Platform",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518837828i/38374795.jpg,,9781984295293 (ISBN10: 1984295292),English
Number the Stars,Lois Lowry,,"Denmark (, 1943)","Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are """"relocated,"""" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.","Historical Fiction, Young Adult, Fiction, Classics, Childrens, Middle Grade, Historical","137 pages, Paperback","February 9, 1998 by Laurel Leaf",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630542426i/47281.jpg,"Annemarie Johansen, Ellen Rosen",9780440227533 (ISBN10: 0440227534),English
Childhood’s End,Arthur C. Clarke,,,"The Overlords appeared suddenly over every city—intellectually, technologically, and militarily superior to humankind. Benevolent, they made few demands: unify earth, eliminate poverty, and end war. With little rebellion, humankind agreed, and a golden age began.  But at what cost? With the advent of peace, man ceases to strive for creative greatness, and a malaise settles over the human race. To those who resist, it becomes evident that the Overlords have an agenda of their own. As civilization approaches the crossroads, will the Overlords spell the end for humankind . . . or the beginning?","Science Fiction, Fiction, Classics, Science Fiction Fantasy, Dystopia, Aliens, Fantasy","224 pages, Mass Market Paperback","May 12, 1987 by Del Rey Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320552628i/414999.jpg,"Rikki Stormgren, Karellen, Jan Rodricks",,English
Stuart Little,E.B. White,,New York (State) (United States),"E.B. White's classic novel about one small mouse on a very big adventure!  Stuart Little is no ordinary mouse. Born to a family of humans, he lives in New York City with his parents, his older brother George, and Snowbell the cat. Though he's shy and thoughtful, he's also a true lover of adventure.  Stuart's greatest adventure comes when his best friend, a beautiful little bird named Margalo, disappears from her nest. Determined to track her down, Stuart ventures away from home for the very first time in his life. He finds adventure aplenty. But will he find his friend?","Classics, Childrens, Fiction, Fantasy, Animals, Middle Grade, Young Adult","131 pages, Paperback","January 1, 1973 by HarperCollins",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1692299661i/138959.jpg,,9780064400565 (ISBN10: 0064400565),English
The End of the Affair,Graham Greene,,"London, England","""""A story has no beginning or end: arbitrarily one chooses a moment of experience from which to look ahead...""""  """"This is a record of hate far more than of love,"""" writes Maurice Bendrix in the opening passages of The End of the Affair, and it is a strange hate indeed that compels him to set down the retrospective account of his adulterous affair with Sarah Miles.  Now, a year after Sarah's death, Bendrix seeks to exorcise the persistence of his passion by retracing its course from obsessive love to love-hate. At first, he believes he hates Sarah and her husband, Henry. Yet as he delves deeper into his emotional outlook, Bendrix's hatred shifts to the God he feels has broken his life, but whose existence at last comes to recognize.","Fiction, Classics, Romance, Audiobook, Literature, Novels, British Literature","160 pages, Paperback","October 7, 2004 by Vintage Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1643250303i/29641.jpg,"Maurice Bendrix, Sarah Miles, Henry Miles, Richard Smythe",,English
Johnny Got His Gun,Dalton Trumbo,,,"This was no ordinary war. This was a war to make the world safe for democracy. And if democracy was made safe, then nothing else mattered - not the millions of dead bodies, nor the thousands of ruined lives...  This is no ordinary novel. This is a novel that never takes the easy way out: it is shocking, violent, terrifying, horrible, uncompromising, brutal, remorseless and gruesome... but so is war.  Winner of the National Book Award.","Fiction, Classics, War, Historical Fiction, Horror, Literature, Novels","309 pages, Paperback","August 25, 1998 by Citadel",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925458i/51606.jpg,Joe Bonham,9780806512815 (ISBN10: 0806512814),English
How to Win Friends and Influence People,Dale Carnegie,,,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!  Since its release in 1936, How to Win Friends and Influence People has sold more than 30 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.  As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.  Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.","Self Help, Nonfiction, Business, Psychology, Personal Development, Leadership, Communication","288 pages, Paperback","First published October 1, 1936",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865.jpg,,,
The Sirens of Titan,Kurt Vonnegut Jr.,,"Indianapolis, Indiana (United States), Newport, Rhode Island (United States)","The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.","Fiction, Science Fiction, Classics, Humor, Fantasy, Literature, Novels","224 pages, Paperback","September 9, 1999 by Gollancz",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419363185i/4982.jpg,"Winston Niles Rumfoord, Malachi Constant (Unk), Salo, Boaz, Beatrice Rumfoord (Bee), Chrono, Stony Stevenson, Noel Constant, Ransom K. Fern",,English
Mythology,Edith Hamilton,,,"The world-renowned classic that has enthralled and delighted millions of readers with its timeless tales of gods and heroes.  Edith Hamilton's Mythology succeeds like no other book in bringing to life for the modern reader the Greek, Roman, and Norse myths that are the keystone of Western culture--the stories of gods and heroes that have inspired human creativity from antiquity to the present. We meet the Greek gods on Olympus and Norse gods in Valhalla. We follow the drama of the Trojan War and the wanderings of Odysseus. We hear the tales of Jason and the Golden Fleece, Cupid and Psyche, and mighty King Midas. We discover the origins of the names of the constellations. And we recognize reference points for countless works of art, literature, and cultural inquiry--from Freud's Oedipus complex to Wagner's Ring Cycle of operas to Eugene O'Neill's . Praised throughout the world for its authority and lucidity, is Edith Hamilton's masterpiece--the standard by which all other books on mythology are measured.","Mythology, Classics, Nonfiction, History, Reference, Greek Mythology, Religion","497 pages, Paperback","September 14, 1998 by Little, Brown and Company",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1305000423i/23522.jpg,,9780316341516 (ISBN10: 0316341517),English
Ethan Frome,Edith Wharton,,"Starkfield, Massachusetts (United States), New England (United States), Massachusetts (United States)","The classic novel of despair, forbidden emotions, and sexual undercurrents set against the austere New England countryside  Ethan Frome works his unproductive farm and struggles to maintain a bearable existence with his difficult, suspicious and hypochondriac wife, Zeena. But when Zeena's vivacious cousin enters their household as a hired girl, Ethan finds himself obsessed with her and with the possibilities for happiness she comes to represent.  In one of American fiction's finest and most intense narratives, Edith Wharton moves this ill-starred trio toward their tragic destinies. Different in both tone and theme from Wharton's other works, has become perhaps her most enduring and most widely read book.","Classics, Fiction, Romance, Literature, School, Historical Fiction, American","99 pages, Paperback","January 1, 2005 by Penguin Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1701588541i/5246.jpg,"Ethan Frome, Mrs. Hale, Zeena Frome, Mattie Silver, Mrs. Ned Hale, Denis Eady, Jotham Powell, Harmon Gow, Michael Eady, Lawyer Varnum, Ned Hale, Orin Silver, Andrew Hale, Aunt Martha Pierce, Mrs. Frome, Mrs. Homan, Dr. Buck, Eliza Spears, Aunt Philura Maple, Daniel Byrne, Dr. Kidder, Mrs. Varnum",,English
My Name Is Asher Lev,Chaim Potok,Asher Lev (#1),The United States of America,"This is a previously-published edition of ISBN 9781400031047.  Asher Lev is a Ladover Hasid who keeps kosher, prays three times a day, and believes in the Ribbono Shel Olom, the Master of the Universe. Asher Lev is an artist who is compulsively driven to render the world he sees and feels, even when it leads him to blasphemy. In this stirring and often visionary novel, Chaim Potok traces Asher’s passage between these two identities, the one consecrated to God, the other subject only to the imagination.  Asher Lev grows up in a cloistered Hasidic community in postwar Brooklyn, a world suffused by ritual and revolving around a charismatic Rebbe. But in time, his gift threatens to estrange him from that world and the parents he adores. As it follows his struggle, becomes a luminous portrait of the artist, by turns heartbreaking and exultant, a modern classic.","Fiction, Classics, Historical Fiction, Jewish, Religion, Judaism, Art","369 pages, Paperback","March 11, 2003 by Anchor",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385056726i/11507.jpg,,,English
Just So Stories,Rudyard Kipling,,,"Librarian's Note: Alternate cover edition can be found here.  Twelve stories about animals, insects, and other subjects include How the Camel Got His Hump. The Butterfly That Stamped, and How the Alphabet Was Made..","Classics, Fiction, Short Stories, Childrens, Fantasy, Animals, Literature","210 pages, Hardcover","August 5, 1978 by Gramercy Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546075870i/34053.jpg,"Stute fish, Mariner, Rhinoceros, Ethiopian, Elephant's Child, Aunt Ostrich, Uncle Giraffe, Aunt Hippopotamus, Uncle Baboon, Kolokolo Bird, Bi-Colored-Python-Rock-Snake, Kangaroo, Old Man Kangaroo, Tired Old Kangaroo, Dingo—Yellow-Dog, Tired-Dog, Poor-Dog, Nqong, Stickly-Prickly Hedgehog, Slow-Solid Tortoise, Painted Jaguar, All-the-Turtle-there-was, Man, aka Son of Adam, Pau Amma, Little girl-daughter, Wild Man, , , , , ,
Show more",9780517266557 (ISBN10: 0517266555),English
Mother Night,Kurt Vonnegut Jr.,,,"Librarian note: Alternate cover edition for this ISBN can be found here.  Mother Night is a daring challenge to our moral sense. American Howard W. Campbell, Jr., a spy during World War II, is now on trial in Israel as a Nazi war criminal. But is he really guilty? In this brilliant book rife with true gallows humor, Vonnegut turns black and white into a chilling shade of gray with a verdict that will haunt us all.","Fiction, Classics, Historical Fiction, War, Literature, Novels, Humor","282 pages, Paperback","May 11, 1999 by Dial Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344621657i/9592.jpg,Howard W. Campbell Jr.,9780385334143 (ISBN10: 0385334141),English
The Subtle Knife,Philip Pullman,His Dark Materials (#2),,"Lost in a new world, Lyra finds Will—a boy on the run, a murderer—a worthy and welcome ally. For this is a world where soul-eating Specters stalk the streets and witches share the skies with troops of angels.  Each is searching—Lyra for the meaning of Dark Matter, Will for his missing father—but what they find instead is a deadly secret, a knife of untold power. And neither Lyra nor Will suspects how tightly their lives, their loves, and their destinies are bound together... until they are split apart.","Fantasy, Young Adult, Fiction, Childrens, Adventure, Science Fiction, Audiobook","326 pages, Hardcover","July 22, 1997 by Alfred A. Knopf Books for Young Readers",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505766360i/119324.jpg,"Lyra Belacqua, Will Parry, Mary Malone, Pantalaimon, Marisa Coulter, Lee Scoresby, Stanislaus Grumman, Serafina Pekkala, Hester",9780679879251 (ISBN10: 0679879250),English
I Capture the Castle,Dodie Smith,,"Suffolk, England (, 1934), Godsend Castle, Suffolk, England (United Kingdom, 1934)","Through six turbulent months of 1934, 17-year-old Cassandra Mortmain keeps a journal, filling three notebooks with sharply funny yet poignant entries about her home, a ruined Suffolk castle, and her eccentric and penniless family. By the time the last diary shuts, there have been great changes in the Mortmain household, not the least of which is that Cassandra is deeply, hopelessly, in love.","Classics, Fiction, Young Adult, Historical Fiction, Romance, Coming Of Age, Historical","408 pages, Hardcover","March 15, 1998 by St. Martin's Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385316083i/31122.jpg,"Cassandra Mortmain, Rose Mortmain, James Mortmain, Topaz Mortmain, Thomas Mortmain, Stephen Colly, Simon Cotton, Neil Cotton, Miss Marcy, Aubrey Fox-Cotton, Leda Fox-Cotton",9780312181109 (ISBN10: 0312181108),English
Hawaii,James A. Michener,,Hawaii (United States),"An alternate cover edition for this ISBN can be found here.  Pulitzer Prize–winning author James A. Michener brings Hawaii’s epic history vividly to life in a classic saga that has captivated readers since its initial publication in 1959. As the volcanic Hawaiian Islands sprout from the ocean floor, the land remains untouched for centuries—until, little more than a thousand years ago, Polynesian seafarers make the perilous journey across the Pacific, flourishing in this tropical paradise according to their ancient traditions. Then, in the early nineteenth century, American missionaries arrive, bringing with them a new creed and a new way of life. Based on exhaustive research and told in Michener’s immersive prose, Hawaii is the story of disparate peoples struggling to keep their identity, live in harmony, and, ultimately, join together.","Historical Fiction, Fiction, Historical, Classics, Travel, Novels, Epic","937 pages, Paperback","July 9, 2002 by Dial Press Trade Paperback",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415585664i/12658.jpg,,9780375760372 (ISBN10: 0375760377),English
V for Vendetta,Alan Moore,V for Vendetta (#1-10),United Kingdom,"""""Remember, remember the fifth of November...""""  A frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world, V for Vendetta stands as one of the highest achievements of the comics medium and a defining work for creators Alan Moore and David Lloyd.  Set in an imagined future England that has given itself over to fascism, this groundbreaking story captures both the suffocating nature of life in an authoritarian police state and the redemptive power of the human spirit which rebels against it. Crafted with sterling clarity and intelligence, brings an unequaled depth of characterization and verisimilitude to its unflinching account of oppression and resistance.","Graphic Novels, Comics, Fiction, Dystopia, Science Fiction, Graphic Novels Comics, Classics","296 pages, Hardcover","October 12, 2005 by Vertigo",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1343668985i/5805.jpg,"Evey Hammond, Adam Susan, Eric Finch, Lewis Prothero, V",9781401207922 (ISBN10: 1401207928),English
A Moveable Feast,Ernest Hemingway,,"Paris (France, 1921)","Hemingway's memories of his life as an unknown writer living in Paris in the twenties are deeply personal, warmly affectionate, and full of wit. Looking back not only at his own much younger self, but also at the other writers who shared Paris with him - James Joyce, Wyndham Lewis, Scott and Zelda Fitzgerald - he recalls the time when, poor, happy, and writing in cafes, he discovered his vocation. Written during the last years of Hemingway's life, his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city.","Nonfiction, Memoir, Biography, France, Classics, Travel, Literature","192 pages, Paperback","September 6, 2012 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427463201i/4631.jpg,"F. Scott Fitzgerald, Ezra Pound, Aleister Crowley, Gertrude Stein, Wyndham Lewis, Hadley Richardson Hemingway, Blaise Cendrars, Zelda Fitzgerald",,English
Corelli’s Mandolin,Louis de Bernières,,"Kefalonia (Greece), Greece","Captain Corelli’s Mandolin is set in the early days of the second world war, before Benito Mussolini invaded Greece. Dr Iannis practices medicine on the island of Cephalonia, accompanied by his daughter, Pelagia, to whom he imparts much of his healing art. Even when the Italians do invade, life isn’t so bad—at first anyway. The officer in command of the Italian garrison is the cultured Captain Antonio Corelli, who responds to a Nazi greeting of “Heil Hitler” with his own “Heil Puccini”, and whose most precious possession is his mandolin. It isn't long before Corelli and Pelagia are involved in a heated affair--despite her engagement to a young fisherman, Mandras, who has gone off to join Greek partisans. Love is complicated enough in wartime, even when the lovers are on the same side. And for Corelli and Pelagia, it becomes increasingly difficult to negotiate the minefield of allegiances, both personal and political, as all around them atrocities mount, former friends become enemies and the ugliness of war infects everyone it touches.  British author Louis de Bernières is well known for his forays into magical realism in such novels as The War of Don Emmanuel's Nether Parts, Señor Vivo and the Coca Lord and The Troublesome Offspring of Cardinal Guzman. Here he keeps it to a minimum, though certainly the secondary characters with whom he populates his island—the drunken priest, the strongman, the fisherman who swims with dolphins—would be at home in any of his wildly imaginative Latin American fictions. Instead, de Bernières seems interested in dissecting the nature of history as he tells his ever-darkening tale from many different perspectives. Captain Corelli’s Mandolin works on many levels, as a love story, a war story and a deconstruction of just what determines the facts that make it into the history books.","Fiction, Historical Fiction, Romance, Classics, War, Greece, Historical","437 pages, Paperback","August 29, 1995 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479680795i/3388.jpg,"Pelagia, Antonio Corelli, Mandras, Dr Iannis",9780679763970 (ISBN10: 067976397X),English
F. Scott Fitzgerald: The Great Gatsby,Nicolas Tredell,,,"More critical writing exists on The Great Gatsby than on any other work of American fiction. This Columbia Critical Guide introduces and contextualizes the key critical debates surrounding Fitzgerald's novel. The extracts and essays included here reflect The Great Gatsby 's place as one of the first American novels to make significant use of modernist techniques and explore the influence of this """"Lost Generation"""" work on later American writings. In considering secondary sources from the twenties to the present, this smart and sophisticated study guide offers readers an invaluable resource on this complex rendering of a moment in American history.","Classics, Fiction, Literature, Adult, Historical Fiction, Essays, School","192 pages, Paperback","First published September 1, 1997",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348335746i/50181.jpg,,,
"Alas, Babylon",Pat Frank,,"Fort Repose, Florida (United States), Florida (United States), Omaha, Nebraska (United States), Syria","“An extraordinary real picture of human beings numbed by catastrophe but still driven by the unconquerable determination of living creatures to keep on being alive.” — The New Yorker The classic apocalyptic novel by Pat Frank, first published in 1959 at the height of the Cold War, with an introduction by award-winning science fiction writer and scientist David Brin. “Alas, Babylon.” Those fateful words heralded the end. When the unthinkable nightmare of nuclear holocaust ravaged the United States, it was instant death for tens of millions of people, for survivors, it was a nightmare of hunger, sickness, and brutality. Overnight, a thousand years of civilization were stripped away. But for one small Florida town, miraculously spared against all the odds, the struggle was only just beginning, as the isolated survivors—men and women of all ages and races—found the courage to come together and confront the harrowing darkness.","Fiction, Science Fiction, Post Apocalyptic, Classics, Dystopia, Apocalyptic, Survival","323 pages, Paperback","July 1, 2005 by Harper Perennial Modern Classics",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440605255i/38169.jpg,Randy Bragg,9780060741877 (ISBN10: 0060741872),English
The Amber Spyglass,Philip Pullman,His Dark Materials (#3),,"Will is the bearer of the knife. Now, accompanied by angels, his task is to deliver that powerful, dangerous weapon to Lord Asriel - by the command of his dying father.  But how can he go looking for Lord Asriel when Lyra is gone? Only with her help can he fathom the myriad plots and intrigues that beset him.  The two great powers of the many worlds are lining up for war, and Will must find Lyra, for together they are on their way to battle, an inevitable journey that will even take them to the world of the dead...","Fantasy, Young Adult, Fiction, Adventure, Science Fiction, Childrens, Audiobook","465 pages, Mass Market Paperback","September 9, 2003 by Laurel Leaf",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329189152i/18122.jpg,"Lyra Belacqua, Will Parry, Mary Malone, Pantalaimon, Lord Asriel, Iorek Byrnison, Marisa Coulter, Lee Scoresby, Roger Parslow, Stanislaus Grumman, Serafina Pekkala",9780440238157 (ISBN10: 0440238153),English
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,,,"Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known. No other powerful empire ever bequeathed such mountains of evidence about its birth and destruction as the Third Reich. When the bitter war was over, and before the Nazis could destroy their files, the Allied demand for unconditional surrender produced an almost hour-by-hour record of the nightmare empire built by Adolph Hitler. This record included the testimony of Nazi leaders and of concentration camp inmates, the diaries of officials, transcripts of secret conferences, army orders, private letters—all the vast paperwork behind Hitler's drive to conquer the world.","History, Nonfiction, War, World War II, Politics, Germany, Historical","1147 pages, Mass Market Paperback","First published October 17, 1960",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331223772i/767171.jpg,,,
Geek Love,Katherine Dunn,,Oregon (United States),"Geek Love is the story of the Binewskis, a carny family whose mater- and paterfamilias set out ― with the help of amphetamine, arsenic, and radioisotopes ― to breed their own exhibit of human oddities. There's Arturo the Aquaboy, who has flippers for limbs and a megalomaniac ambition worthy of Genghis Khan . . . Iphy and Elly, the lissome Siamese twins . . . albino hunchback Oly, and the outwardly normal Chick, whose mysterious gifts make him the family's most precious ― and dangerous ― asset.  As the Binewskis take their act across the backwaters of the U.S., inspiring fanatical devotion and murderous revulsion, as its members conduct their own Machiavellian version of sibling rivalry, throws its sulfurous light on our notions of the freakish and the normal, the beautiful and the ugly, the holy and the obscene. Family values will never be the same.","Fiction, Horror, Fantasy, Contemporary, Novels, Literary Fiction, Literature","348 pages, Paperback","June 11, 2002 by Random House Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1636594691i/13872.jpg,"Olympia ""Oly"" Binewski, Arturo ""Arty"" Binewski, Al Binewski",9780375713347 (ISBN10: 0375713344),English
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,,,"Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe. To do this dangerous task will mean giving up his family and possibly his life—Shevek must make the unprecedented journey to the utopian mother planet, Urras, to challenge the complex structures of life and living, and ignite the fires of change.","Science Fiction, Fiction, Fantasy, Classics, Dystopia, Science Fiction Fantasy, Speculative Fiction","387 pages, Paperback","First published January 1, 1974",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1353467455i/13651.jpg,,,
Ella Enchanted,Gail Carson Levine,Ella Enchanted (#1),,"At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the """"gift"""" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: """"Instead of making me docile, Lucinda's curse made a rebel of me. Or perhaps I was that way naturally."""" When her beloved mother dies, leaving her in the care of a mostly absent and avaricious father, and later, a loathsome stepmother and two treacherous stepsisters, Ella's life and well-being seem to be in grave peril. But her intelligence and saucy nature keep her in good stead as she sets out on a quest for freedom and self-discovery as she tries to track down Lucinda to undo the curse, fending off ogres, befriending elves, and falling in love with a prince along the way. Yes, there is a pumpkin coach, a glass slipper, and a happily ever after, but this is the most remarkable, delightful, and profound version of Cinderella you'll ever read.  Gail Carson Levine's examination of traditional female roles in fairy tales takes some satisfying twists and deviations from the original. Ella is bound by obedience against her will, and takes matters in her own hands with ambition and verve. Her relationship with the prince is balanced and based on humor and mutual respect, in fact, it is she who ultimately rescues . Ella Enchanted has won many well-deserved awards, including a Newbery Honor.","Fantasy, Young Adult, Fiction, Romance, Middle Grade, Childrens, Fairy Tales","240 pages, Paperback","September 1, 1998 by Scholastic Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410727190i/24337.jpg,"Ella Varner, Lucinda, Mandy, Prince Charmont, Areida, Hattie, Olive Abroholos Elephanta",9780590920681 (ISBN10: 0590920685),English
100 Selected Poems,E.E. Cummings,,,"E.E. Cummings is without question one of the major poets of the 20th century, and this volume, first published in 1959, is indispensable for every lover of modern lyrical verse. It contains one hundred of Cummings’s wittiest and most profound poems, harvested from thirty-five of the most radically creative years in contemporary American poetry. These poems exhibit all the extraordinary lyricism, playfulness, technical ingenuity, and compassion for which Cummings is famous. They demonstrate beautifully his extrapolations from traditional poetic structures and his departures from them, as well as the unique synthesis of lavish imagery and acute artistic precision that has won him the adulation and respect of critics and poetry lovers everywhere.","Poetry, Classics, Fiction, Literature, American, 20th Century, The United States Of America","121 pages, Paperback","January 10, 1994 by Grove Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388179993i/76889.jpg,,9780802130723 (ISBN10: 0802130720),English
The Sparrow,Mary Doria Russell,The Sparrow (#1),"Borgo Santo Spirito, Rome (Italy, 2059), Arecibo (Puerto Rico, 2019), Naples (Italy, 2060), San Juan (Puerto Rico, 2019), Rakhat (, 2039)","In 2019, humanity finally finds proof of extraterrestrial life when a listening post in Puerto Rico picks up exquisite singing from a planet that will come to be known as Rakhat. While United Nations diplomats endlessly debate a possible first contact mission, the Society of Jesus quietly organizes an eight-person scientific expedition of its own. What the Jesuits find is a world so beyond comprehension that it will lead them to question what it means to be """"human"""".","Science Fiction, Fiction, Fantasy, Religion, Science Fiction Fantasy, Speculative Fiction, Aliens","419 pages, Paperback","September 8, 1997 by Ballantine Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1230829367i/334176.jpg,"Emilio Sandoz, Jimmy Quinn, Vincenzo Giuliani, John Candotti, Johannes Voelker, Edward Behr, Sofia Mendez, Anne Edwards, George Edwards, Alan Pace, Felipe Reyes, D.W. Yarbrough, Marc Robichaux, Supaari, Askama, Hlavin Kitheri",9780449912553 (ISBN10: 0449912558),English
Jitterbug Perfume,Tom Robbins,,,"Jitterbug Perfume is an epic, which is to say, it begins in the forests of ancient Bohemia and doesn't conclude until nine o'clock tonight [Paris time]. It is a saga, as well. A saga must have a hero, and the hero of this one is a janitor with a missing bottle. The bottle is blue, very, very old, and embossed with the image of a goat-horned god. If the liquid in the bottle is actually is the secret essence of the universe, as some folks seem to think, it had better be discovered soon because it is leaking and there is only a drop or two left.","Fiction, Fantasy, Humor, Magical Realism, Literature, Novels, Classics","342 pages, Paperback","January 1, 2001 by No Exit Press",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388607752i/8682.jpg,,9781842430354 (ISBN10: 1842430351),English
A Town Like Alice,Nevil Shute,,"Alice Springs (Australia, 1948), Australia, Malacca (Malaysia), Malaysia, Southeast Asia, Northern Territory (Australia)","Nevil Shute's most beloved novel, a tale of love and war, follows its enterprising heroine from the Malayan jungle during World War II to the rugged Australian outback.  Jean Paget, a young Englishwoman living in Malaya, is captured by the invading Japanese and forced on a brutal seven-month death march with dozens of other women and children. A few years after the war, Jean is back in England, the nightmare behind her. However, an unexpected inheritance inspires her to return to Malaya to give something back to the villagers who saved her life. Jean's travels leads her to a desolate Australian outpost called Willstown, where she finds a challenge that will draw on all the resourcefulness and spirit that carried her through her war-time ordeals.","Fiction, Historical Fiction, Classics, Australia, Romance, War, Historical","359 pages, Paperback","January 1, 2000 by House of Stratus Ltd",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327957610i/107301.jpg,"Jean Paget, Joe Harman",9781842323007 (ISBN10: 1842323008),English
The True Confessions of Charlotte Doyle,Avi,,"Rhode Island (United States), Liverpool, England (United Kingdom), Atlantic Ocean, England (, 1832)","An ocean voyage of unimaginable consequences... Not every thirteen-year-old girl is accused of murder, brought to trial, and found guilty. But I was just such a girl, and my story is worth relating even if it did happen years ago. Be warned, however: If strong ideas and action offend you, read no more. Find another companion to share your idle hours. For my part I intend to tell the truth as I lived it.","Historical Fiction, Young Adult, Fiction, Middle Grade, Historical, Adventure, Childrens","232 pages, Mass Market Paperback","January 1, 1992 by Harpercollins Childrens Books",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348243806i/310146.jpg,Charlotte Doyle,9780380714759 (ISBN10: 0380714752),English
The Collector,John Fowles,,"United Kingdom, London, England","Withdrawn, uneducated and unloved, Frederick collects butterflies and takes photographs. He is obsessed with a beautiful stranger, the art student Miranda. When he wins the pools he buys a remote Sussex house and calmly abducts Miranda, believing she will grow to love him in time.","Fiction, Classics, Horror, Thriller, Crime, Mystery, Novels","283 pages, Paperback","October 21, 1998 by Vintage",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394828024i/243705.jpg,"Frederick Clegg, Miranda Grey",,English
